Name,Current online,Max online,Status
OPBlocks,2109,2500,online
CraftersHQ,9,150,online
InsanityCraft,3740,4000,online
Advancius Network,86,400,online
Vanilla Realms,50,200,online
Complex Gaming,1184,3000,online
OPBlocks,2109,2500,online
EarthMC,146,400,online
LoverCraft Network,229,2500,online
Penguin.GG,507,1000,online
Pixelmon Realms,241,999,online
BlockHero,546,3000,online
CosmosMC,154,1000,online
BlossomCraft,137,400,online
InvadedLands,151,152,online
Havoc Games,76,1000,online
InsanityCraft,3740,4000,online
ArchMC,609,1500,online
SmashMC,208,500,online
TrappedMC,86,300,online
Vulengate,65,500,online
LifeSteal SMP,190,500,online
Netherite,163,2024,online
RainyDay,123,200,online
BendersMC,204,1250,online
FreshSMP,611,2000,online
AkumaMC,4466,20250,online
Lord Of The Craft,78,500,online
Skyblock,138,750,online
Simple Survival,40,300,online
BerrySMP,200,1000,online
EpicWorld,101,800,online
PokeHub Cobblemon,103,5000,online
Lifesteal,82,500,online
FadeCloud,530,2000,online
Faeries SMP,121,1000,online
AnubisMC,43,1,online
MineHeart,102,220,online
GamerTee Network,472,800,online
PixelBlock,235,500,online
MysticMC,77,200,online
Boxpvp,61,420,online
DiplomaticaMC,25,200,online
LemonCloud,206,1000,online
LeoneMC,231,2025,online
PokeSaga,63,1,online
Twenture Network,85,300,online
Fairytales,87,380,online
EeveeEmpire,37,500,online
CubeCraft Games,251,2000,online
PokeFind,361,1000,online
Cobbletwo Cobblemon,59,300,online
Minebox,187,700,online
Blaze Gaming,610,8880,online
CCNet,22,300,online
Safe Survival,13,150,online
Sakura Realms,31,150,online
Vanilla Realms,50,200,online
KobbledKarp Cobblemon,35,70,online
NebulaMC,54,2024,online
Vortex Network,681,3000,online
FishOnMC,62,525,online
CastiaMC,33,350,online
WildNetwork,595,1500,online
Arefy Network,260,1000,online
RulerCraft,4,200,online
SwanCraft,16,150,online
Sunny Survival,14,250,online
Vanilla Europa,14,100,online
Breeze SMP,18,2000,online
The Seed,20,300,online
Loka,12,1000,online
CraftYourTown,62,500,online
PokeClash Cobblemon,60,200,online
Silvermons,20,100,online
FlameFrags,140,1000,online
CobbleLand,88,500,online
Minecraft Central,1061,10000,online
MineSuperior,1718,2500,online
SiriusMC,20,100,online
Grand Theft Minecart,9,10,online
HayCube,20,500,online
WildWood,1380,5000,online
Advancius Network,86,400,online
EnchantedMC,1011,2024,online
Realmi,31,2025,online
PokeSMP,23,1000,online
ChillSMP,32,1000,online
JackpotMC,127,7777,online
MineSeed,240,5000,online
Minewind,56,1000,online
Foxcraft,127,1000,online
ACE MC,91,500,online
CyberCraft,62,1000,online
MobCraft Pixelmon,24,333,online
CreativeFun,7,2000,online
OtterSMP,51,200,online
GeoquestMC,2,1000,online
EarthSMP,30,500,online
VanillaMC,11,300,online
